1	602	604	5.415067	0.773581	0.784314
17	408	418	44.171124	1.226976	0.470588
22	366	370	32.754805	1.259800	0.156863
29	602	604	62.764828	0.848173	0.182861
30	602	604	26.002693	1.368563	0.313725
32	450	441	78.168651	0.953276	0.083333
33	450	441	37.109186	0.927730	0.166667
35	366	370	83.550265	1.228680	0.313725
39	623	616	0.697731	0.697731	0.313725
47	408	418	5.926809	1.185362	0.470588
48	626	625	171.200652	1.284326	0.470588
50	379	364	22.237181	1.170378	0.255131
51	625	623	8.303542	1.037943	0.941176
54	366	370	19.352194	1.290146	0.156863
55	638	924	22.499273	0.865357	0.000000
62	614	611	62.999281	0.984364	1.098039
65	602	604	50.894261	1.183587	0.156863
66	440	409	47.195575	1.016338	1.367430
67	626	625	12.105913	1.100538	0.313725
71	626	625	165.144542	1.006979	0.627451
74	64	95	9.008606	1.126076	0.156863
76	366	370	74.383956	1.219409	0.470588
85	614	611	19.723129	0.939197	0.627451
87	419	412	78.083121	1.419693	0.313725
89	608	614	0.000000	0.922297	0.000000
98	626	625	167.875524	1.263818	0.470588
102	65	64	110.584757	1.140049	0.313725
113	182	163	52.163450	0.628475	0.000000
126	626	625	27.213928	1.133914	0.313725
127	614	611	30.114797	0.971445	0.470588
131	604	615	12.129841	1.347760	0.627451
135	602	604	0.000000	1.122550	0.000000
140	626	625	155.669091	1.058973	0.470588
144	614	611	59.967640	1.339286	1.098039
147	614	611	11.720207	0.977021	1.254902
149	602	604	3.697291	1.232430	0.627451
157	626	625	36.052271	1.060361	0.627451
162	92	93	65.601406	0.979125	0.313725
163	625	623	4.187830	1.046957	0.784314
169	616	602	27.152045	0.754223	0.313725
183	238	246	38.085539	1.655893	0.000000
185	419	412	0.000000	1.378698	0.724109
188	614	611	22.333810	1.414722	0.470588
190	408	418	42.407204	1.285067	0.784314
191	626	625	172.523939	1.223574	0.470588
194	175	185	121.981155	0.983719	0.470588
205	615	608	2.425341	1.212670	0.470588
212	602	604	12.258417	1.114402	0.313725
214	450	441	84.604104	0.919610	0.083333
215	626	625	109.401115	1.003680	1.098039
219	616	602	27.525376	1.146891	0.470588
221	640	626	51.722229	1.077546	0.000000
231	640	626	28.301323	1.010762	0.000000
232	689	463	108.236465	0.872875	0.313725
235	241	228	42.089358	1.558865	0.000000
240	450	441	38.945356	0.949887	0.166667
243	626	625	64.923013	1.180418	0.156863
244	366	370	108.157414	1.272440	0.627451
245	366	370	11.527238	1.152724	0.784314
248	616	602	1.304501	1.304501	0.156863
252	450	441	146.078537	1.074107	0.166667
265	450	441	157.692543	0.985578	0.166667
