1	2	[35.007503, 135.754410], [35.008232, 135.754382], [35.008333, 135.754380]
1	68	[35.007503, 135.754410], [35.007347, 135.754416]
2	1	[35.008333, 135.754380], [35.008232, 135.754382], [35.007503, 135.754410]
2	21	[35.008333, 135.754380], [35.008581, 135.754376]
3	4	[35.007503, 135.757224], [35.008233, 135.757204], [35.008333, 135.757202]
3	69	[35.007503, 135.757224], [35.007336, 135.757229]
4	3	[35.008333, 135.757202], [35.008233, 135.757204], [35.007503, 135.757224]
4	22	[35.008333, 135.757202], [35.008583, 135.757197]
5	6	[35.007503, 135.755157], [35.007737, 135.755151], [35.008333, 135.755154]
5	75	[35.007503, 135.755157], [35.007349, 135.755161]
6	5	[35.008333, 135.755154], [35.007737, 135.755151], [35.007503, 135.755157]
6	23	[35.008333, 135.755154], [35.008581, 135.755154]
7	8	[35.007503, 135.756633], [35.008150, 135.756621], [35.008333, 135.756620]
7	79	[35.007503, 135.756633], [35.007336, 135.756636]
8	7	[35.008333, 135.756620], [35.008150, 135.756621], [35.007503, 135.756633]
8	24	[35.008333, 135.756620], [35.008589, 135.756620]
9	10	[35.007503, 135.753660], [35.008256, 135.753632], [35.008333, 135.753629]
9	97	[35.007503, 135.753660], [35.007348, 135.753666]
10	9	[35.008333, 135.753629], [35.008256, 135.753632], [35.007503, 135.753660]
10	25	[35.008333, 135.753629], [35.008560, 135.753621]
11	12	[35.008333, 135.753019], [35.007958, 135.753025]
11	26	[35.008333, 135.753019], [35.008561, 135.753015]
12	11	[35.007958, 135.753025], [35.008333, 135.753019]
12	13	[35.007958, 135.753025], [35.007960, 135.752684]
12	14	[35.007958, 135.753025], [35.007503, 135.753032]
13	12	[35.007960, 135.752684], [35.007958, 135.753025]
13	15	[35.007960, 135.752684], [35.007649, 135.752687], [35.007644, 135.752824], [35.007503, 135.752824]
13	16	[35.007960, 135.752684], [35.007961, 135.752563]
14	12	[35.007503, 135.753032], [35.007958, 135.753025]
14	101	[35.007503, 135.753032], [35.007346, 135.753035]
15	13	[35.007503, 135.752824], [35.007644, 135.752824], [35.007649, 135.752687], [35.007960, 135.752684]
15	100	[35.007503, 135.752824], [35.007345, 135.752824]
16	13	[35.007961, 135.752563], [35.007960, 135.752684]
17	18	[35.007503, 135.752581], [35.007822, 135.752583]
17	99	[35.007503, 135.752581], [35.007344, 135.752581]
18	17	[35.007822, 135.752583], [35.007503, 135.752581]
19	20	[35.007503, 135.757525], [35.007904, 135.757525]
19	87	[35.007503, 135.757525], [35.007340, 135.757525]
20	19	[35.007904, 135.757525], [35.007503, 135.757525]
21	2	[35.008581, 135.754376], [35.008333, 135.754380]
21	23	[35.008581, 135.754376], [35.008581, 135.755154]
21	48	[35.008581, 135.754376], [35.008584, 135.754246]
22	4	[35.008583, 135.757197], [35.008333, 135.757202]
22	24	[35.008583, 135.757197], [35.008589, 135.756620]
22	33	[35.008583, 135.757197], [35.008582, 135.757276]
23	6	[35.008581, 135.755154], [35.008333, 135.755154]
23	21	[35.008581, 135.755154], [35.008581, 135.754376]
