10000 6
1	4220	1.2850325761435113	462	2	2 1 0
2	5165	1.176045648259089	50	3	3 1 0
3	3314	1.224305111638634	462	5	5 1 0
4	5109	1.0840915571290228	58	3	3 1 0
5	1579	1.3020263366215556	150	1	1 1 0
6	540	1.0879580035806395	458	5	5 1 0
7	5023	1.0478089462186488	150	4	4 1 0
8	847	1.1957046296008944	150	4	4 1 0
9	4062	1.3909895731563264	150	3	3 1 0
10	3129	1.2868199762072636	341	4	4 1 0
11	2630	1.0344920679734582	459	5	5 1 0
12	3397	1.184244829188963	50	4	4 1 0
13	1291	1.1601389519832566	150	5	5 1 0
14	3850	1.076736243147928	489	1	1 1 0
15	5668	1.4548649147928754	150	6	6 1 0
16	2552	1.3853488753429997	459	2	2 1 0
17	5	1.6820870947092663	50	5	5 1 0
18	1201	0.8505016031462479	489	3	3 1 0
19	3754	1.3916331276733584	150	1	1 1 0
20	1910	1.0732817946057225	150	1	1 1 0
21	664	1.048042632747638	150	6	6 1 0
22	3605	0.823334744434475	380	3	3 1 0
23	4435	1.4075518765514379	341	1	1 1 0
24	3025	1.3966668893485146	380	1	1 1 0
25	3113	1.3474489712781177	150	6	6 1 0
26	5579	1.271573949074943	458	6	6 1 0
27	4378	0.946540680470686	150	1	1 1 0
28	1825	1.1270702925388507	458	2	2 1 0
29	1664	1.2723709643294456	50	3	3 1 0
30	3641	1.521693887818406	150	2	2 1 0
31	816	1.7191125095269824	380	2	2 1 0
32	1755	1.018900942086979	150	3	3 1 0
33	3143	1.270781664123119	150	6	6 1 0
34	130	1.6104574603094288	150	3	3 1 0
35	433	0.9185608480071513	380	3	3 1 0
36	1755	1.4753167093545416	150	1	1 1 0
37	1565	1.3033631456707873	150	2	2 1 0
38	4934	1.1697326196714806	50	5	5 1 0
39	3656	1.2875314620057516	459	2	2 1 0
40	4237	0.9482465884110882	459	6	6 1 0
41	696	1.462533980688796	383	3	3 1 0
42	2463	1.1504500458448397	380	2	2 1 0
43	2090	1.5397003503409346	150	2	2 1 0
44	3307	0.8055347815594821	462	3	3 1 0
45	3370	1.3395283148069477	383	4	4 1 0
46	3131	1.5724859126747726	58	6	6 1 0
47	3671	1.1326303875193424	150	4	4 1 0
48	1916	1.2715352777859004	489	1	1 1 0
49	553	1.2908557319661544	462	1	1 1 0
50	3908	1.260912682503584	329	4	4 1 0
51	4086	1.0731507816578714	150	6	6 1 0
52	2269	0.952279424600996	150	1	1 1 0
53	2335	0.8839293651759181	458	1	1 1 0
54	2528	1.4220694493723636	506	2	2 1 0
55	2131	1.5249718077186394	58	3	3 1 0
56	3413	1.0640633362398604	150	3	3 1 0
